"id","chart_template_id:id","code","parent_id:id","name","user_type_id:id","reconcile"
"ao_0","l10n_ao.l10n_ao_chart_template",0,,"Account Chart - Angola","account_parent_v10.data_account_type_view",0
"ao_1","l10n_ao.l10n_ao_chart_template",1,"l10n_ao.ao_0","MEIOS FIXOS E INVESTIMENTOS","account_parent_v10.data_account_type_view",0
"ao_11","l10n_ao.l10n_ao_chart_template",11,"l10n_ao.ao_1","IMOBILIZAÇÕES CORPÓREAS","account_parent_v10.data_account_type_view",0
"ao_111","l10n_ao.l10n_ao_chart_template",111,"l10n_ao.ao_11","Terrenos e recursos naturais","account_parent_v10.data_account_type_view",0
"ao_111100","l10n_ao.l10n_ao_chart_template",111100,"l10n_ao.ao_111","Terrenos em bruto","account.data_account_type_current_assets",0
"ao_111200","l10n_ao.l10n_ao_chart_template",111200,"l10n_ao.ao_111","Terrenos com arranjos","account.data_account_type_current_assets",0
"ao_111300","l10n_ao.l10n_ao_chart_template",111300,"l10n_ao.ao_111","Subsolo","account.data_account_type_current_assets",0
"ao_1114","l10n_ao.l10n_ao_chart_template",1114,"l10n_ao.ao_111","Terrenos com edifícios","account_parent_v10.data_account_type_view",0
"ao_111410","l10n_ao.l10n_ao_chart_template",111410,"l10n_ao.ao_1114","Relativos a edifícios industriais","account.data_account_type_current_assets",0
"ao_111420","l10n_ao.l10n_ao_chart_template",111420,"l10n_ao.ao_1114","Relativos a edifícios administrativos e comerciais","account.data_account_type_current_assets",0
"ao_111430","l10n_ao.l10n_ao_chart_template",111430,"l10n_ao.ao_1114","Relativos a outros edifícios","account.data_account_type_current_assets",0
"ao_112","l10n_ao.l10n_ao_chart_template",112,"l10n_ao.ao_11","Edifícios e Outras Construções","account_parent_v10.data_account_type_view",0
"ao_1121","l10n_ao.l10n_ao_chart_template",1121,"l10n_ao.ao_112","Edifícios","account_parent_v10.data_account_type_view",0
"ao_112110","l10n_ao.l10n_ao_chart_template",112110,"l10n_ao.ao_1121","Integrados em conjuntos industriais","account.data_account_type_current_assets",0
"ao_112120","l10n_ao.l10n_ao_chart_template",112120,"l10n_ao.ao_1121","Integrados em conjuntos administrativos e comerciais","account.data_account_type_current_assets",0
"ao_112130","l10n_ao.l10n_ao_chart_template",112130,"l10n_ao.ao_1121","Outros conjuntos industriais","account.data_account_type_current_assets",0
"ao_112140","l10n_ao.l10n_ao_chart_template",112140,"l10n_ao.ao_1121","Implantados em propriedade alheia","account.data_account_type_current_assets",0
"ao_112200","l10n_ao.l10n_ao_chart_template",112200,"l10n_ao.ao_112","Outras construções","account.data_account_type_current_assets",0
"ao_112300","l10n_ao.l10n_ao_chart_template",112300,"l10n_ao.ao_112","Instalações","account.data_account_type_current_assets",0
"ao_113","l10n_ao.l10n_ao_chart_template",113,"l10n_ao.ao_11","Equipamento Básico","account_parent_v10.data_account_type_view",0
"ao_113100","l10n_ao.l10n_ao_chart_template",113100,"l10n_ao.ao_113","Material industrial","account.data_account_type_current_assets",0
"ao_113200","l10n_ao.l10n_ao_chart_template",113200,"l10n_ao.ao_113","Ferramentas industriais","account.data_account_type_current_assets",0
"ao_113300","l10n_ao.l10n_ao_chart_template",113300,"l10n_ao.ao_113","Melhoramentos em equipamentos básicos","account.data_account_type_current_assets",0
"ao_114","l10n_ao.l10n_ao_chart_template",114,"l10n_ao.ao_11","Equipamentos de carga e transporte","account_parent_v10.data_account_type_view",0
"ao_114100","l10n_ao.l10n_ao_chart_template",114100,"l10n_ao.ao_114","Equipamentos de carga e transporte","account.data_account_type_current_assets",0
"ao_115","l10n_ao.l10n_ao_chart_template",115,"l10n_ao.ao_11","Equipamento administrativo","account_parent_v10.data_account_type_view",0
"ao_115100","l10n_ao.l10n_ao_chart_template",115100,"l10n_ao.ao_115","Equipamento administrativo","account.data_account_type_current_assets",0
"ao_116","l10n_ao.l10n_ao_chart_template",116,"l10n_ao.ao_11","Taras e vasilhame","account_parent_v10.data_account_type_view",0
"ao_116100","l10n_ao.l10n_ao_chart_template",116100,"l10n_ao.ao_116","Taras e vasilhame","account.data_account_type_current_assets",0
